"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void mul_mat_q<(ggml_type)8, 64, false>(char const*, int const*, int const*, int const*, float*, float*, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, bool)",26080,15041830221,576757.293750,33.22,156319,7891000,975865.784836
"void mul_mat_q<(ggml_type)8, 16, false>(char const*, int const*, int const*, int const*, float*, float*, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, bool)",54400,7965090327,146417.101599,17.59,69760,294718,147149.284910
"gcn_f32_gemm_tn(float const*, float const*, float*, int, int, int, int, int, int)",26304,5892654245,224021.222818,13.01,198079,404478,164820.283549
"void mul_mat_q<(ggml_type)8, 32, false>(char const*, int const*, int const*, int const*, float*, float*, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, bool)",27200,5575605162,204985.483897,12.31,97919,412318,175549.225990
"void gated_delta_net_chunked_cuda<128, false, 64, 2>(float const*, float const*, float const*, float const*, float const*, float const*, float*, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float, int)",1728,1574457721,911144.514468,3.48,324798,7206204,1219434.205560
"void mul_mat_q<(ggml_type)8, 96, false>(char const*, int const*, int const*, int const*, float*, float*, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, bool)",384,1519531899,3957114.320312,3.36,1637751,8284599,2134191.864126
"void mul_mat_q<(ggml_type)8, 88, false>(char const*, int const*, int const*, int const*, float*, float*, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, HIP_vector_type<unsigned int, 3u>, bool)",1536,1273028982,828794.910156,2.81,345438,1811671,449281.455775
"void gated_delta_net_cuda<128, false, false>(float const*, float const*, float const*, float const*, float const*, float const*, float*, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float, int)",11424,1207492967,105697.913778,2.67,54719,261119,44230.929218
"void concat_f32_non_cont<0>(char const*, char const*, char*, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long)",13152,1150924333,87509.453543,2.54,30720,3949420,255901.405566
"void flash_attn_tile<256, 256, 8, 4, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)",4384,800702878,182642.079836,1.77,28479,8405558,599915.685258
"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(float const*, int const*, void*, long, long, long, long, long, int, int)",109600,652613189,5954.499900,1.44,3360,232319,9679.110492
"void unary_gated_op_kernel<&(op_silu(float)), float>(float const*, float const*, float*, long, long, long, long)",30688,312495968,10183.002086,0.6901,3680,353278,22125.316699
"void k_bin_bcast<&(op_add(float, float)), float, float, float, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*)",48224,276243304,5728.336596,0.6101,3679,93119,6136.181770
"void k_get_rows_float<float, float>(float const*, int const*, float*, long, long, HIP_vector_type<unsigned int, 3u>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",26336,235121385,8927.756113,0.5192,3520,68800,4923.980669
"void rms_norm_f32<1024, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",35104,233952412,6664.551390,0.5167,4000,110880,8017.055630
"void rms_norm_f32<256, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",21920,208754410,9523.467609,0.4610,3520,290239,19469.864535
"void ssm_conv_long_token_f32<true, 128ul, 4ul, 32l>(float const*, float const*, float const*, int, int, int, int, float*, int, int, int, long)",3360,204276327,60796.525893,0.4511,21919,503678,75669.400248
"void cpy_scalar<&(void cpy_1_scalar<float, float>(char const*, char*))>(char const*, char*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)",17536,193412521,11029.454893,0.4271,4479,512957,22317.344987
"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int)",4384,181361841,41369.033075,0.4005,6560,606877,50160.199455
"void l2_norm_f32<32>(float const*, float*, int, long, long, long, float)",26304,176956102,6727.345727,0.3908,3520,128800,8774.669177
"void ssm_conv_f32<true, 128ul, 4ul>(float const*, float const*, float const*, int, int, int, int, float*, int, int, int, long)",9792,137849891,14077.807496,0.3044,10559,35680,4130.193349
"__amd_rocclr_copyBuffer",15638,97534216,6237.000639,0.2154,2560,31520,1368.579439
"void rope_multi<true, false, float>(float const*, float*, int, int, int, int, int, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, mrope_sections, bool)",8768,70745620,8068.615420,0.1562,4479,208479,11643.249099
"void k_bin_bcast<&(op_mul(float, float)), float, float, float, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*)",13152,58716089,4464.422825,0.1297,3839,7200,281.643391
"void unary_op_kernel<&(op_softplus(float)), float>(float const*, float*, int)",13152,57444802,4367.761709,0.1269,3360,7360,193.907497
"void unary_op_kernel<&(op_sigmoid(float)), float>(float const*, float*, int)",13152,56925285,4328.260721,0.1257,2720,18560,277.032905
"void k_set_rows<float, long, __half>(float const*, long const*, __half*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",8768,47197493,5382.925753,0.1042,3359,105280,5401.685814
"void mul_mat_vec_q<(ggml_type)8, 1, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, int, int, unsigned int, float*, unsigned int)",32,32878375,1027449.218750,0.0726,960954,1885267,158552.443020
"void unary_gated_op_kernel<&(op_sigmoid(float)), float>(float const*, float const*, float*, long, long, long, long)",4384,31770684,7246.962591,0.0702,3520,149599,11729.453050
"scale_f32(float const*, float*, float, float, long)",1536,10842168,7058.703125,0.0239,3360,59200,3382.601174
"__amd_rocclr_fillBufferAligned",32,2481904,77559.500000,5.481e-03,13120,267678,62078.816670
"void flash_attn_mask_to_KV_max<8>(__half2 const*, int*, int, int, int)",48,236158,4919.958333,5.215e-04,4639,5760,193.907299
"void quantize_q8_1<32>(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",32,155519,4859.968750,3.435e-04,3520,5600,450.277369
