"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void mmq_gemm_q8_0_repacked<false, 1>(unsigned char const*, block_q8_1 const*, float*, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, int const*, int const*, unsigned int, unsigned long, unsigned int)",109600,42959677006,391967.855894,75.75,154398,8005197,624406.176009
"gcn_f32_gemm_tn(float const*, float const*, float*, int, int, int, int, int, int)",26304,5834361578,221805.108653,10.29,197118,405436,164660.960625
"void gated_delta_net_chunked_cuda<128, false, 64, 2>(float const*, float const*, float const*, float const*, float const*, float const*, float*, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float, int)",1728,1542533356,892669.766204,2.72,323997,7253204,1221256.499901
"void gated_delta_net_cuda<128, false, false>(float const*, float const*, float const*, float const*, float const*, float const*, float*, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float, int)",11424,1192087284,104349.377101,2.10,54879,236478,42755.541308
"void concat_f32_non_cont<0>(char const*, char const*, char*, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long)",13152,1126486322,85651.332269,1.99,30399,3872600,256953.562214
"void flash_attn_tile<256, 256, 8, 4, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)",4384,782412561,178470.018476,1.38,27040,8238314,589280.318724
"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(float const*, int const*, void*, long, long, long, long, long, int, int)",109600,654530704,5971.995474,1.15,3360,232477,9665.941077
"void unary_gated_op_kernel<&(op_silu(float)), float>(float const*, float const*, float*, long, long, long, long)",30688,307555995,10022.027991,0.5423,3360,352796,21738.810939
"void k_bin_bcast<&(op_add(float, float)), float, float, float, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*)",48224,276149641,5726.394347,0.4869,3680,1901578,10594.831932
"void rms_norm_f32<1024, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",35104,232746635,6630.202683,0.4104,4318,114079,8069.975493
"void k_get_rows_float<float, float>(float const*, int const*, float*, long, long, HIP_vector_type<unsigned int, 3u>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",26336,232586359,8831.499051,0.4101,3520,68319,4910.890323
"void rms_norm_f32<256, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",21920,205084410,9356.040602,0.3616,3999,1922059,23036.503814
"void ssm_conv_long_token_f32<true, 128ul, 4ul, 32l>(float const*, float const*, float const*, int, int, int, int, float*, int, int, int, long)",3360,199072744,59247.840476,0.3510,21600,502075,75144.078798
"void l2_norm_f32<32>(float const*, float*, int, long, long, long, float)",26304,198942619,7563.207839,0.3508,3520,128318,10947.982218
