"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void mmq_gemm_q8_0_repacked<false, 1>(unsigned char const*, block_q8_1 const*, float*, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, int const*, int const*, unsigned int, unsigned long, unsigned int)",25200,8890574161,352800.561944,76.03,154720,2115035,414149.398516
"gcn_f32_gemm_tn(float const*, float const*, float*, int, int, int, int, int, int)",6048,1330986597,220070.535218,11.38,198399,344639,18336.462798
"void gated_delta_net_cuda<128, false, false>(float const*, float const*, float const*, float const*, float const*, float const*, float*, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float, int)",2688,279652265,104037.300967,2.39,54720,236640,43067.518082
"void gated_delta_net_chunked_cuda<128, false, 64, 2>(float const*, float const*, float const*, float const*, float const*, float const*, float*, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float, int)",336,204267202,607938.101190,1.75,324319,1568477,384995.569730
"void concat_f32_non_cont<0>(char const*, char const*, char*, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long)",3024,198516489,65646.987103,1.70,30400,1876315,107722.402439
"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(float const*, int const*, void*, long, long, long, long, long, int, int)",25200,134782749,5348.521786,1.15,3360,1471677,9932.793536
"void k_bin_bcast<&(op_add(float, float)), float, float, float, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*)",11088,89384909,8061.409542,0.7644,3680,23149859,222762.656008
"void flash_attn_tile<256, 256, 8, 4, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)",1008,67141305,66608.437500,0.5742,25760,594238,88275.992346
"void unary_gated_op_kernel<&(op_silu(float)), float>(float const*, float const*, float*, long, long, long, long)",7056,60436820,8565.308957,0.5168,3520,1157597,17216.759784
"void k_get_rows_float<float, float>(float const*, int const*, float*, long, long, HIP_vector_type<unsigned int, 3u>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",6060,55442434,9148.916502,0.4741,3519,2068314,26944.151268
"void rms_norm_f32<1024, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",8076,46611533,5771.611317,0.3986,4000,52960,3733.266205
"void rms_norm_f32<256, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",5040,42665967,8465.469643,0.3649,3680,1946716,39324.544771
"void l2_norm_f32<32>(float const*, float*, int, long, long, long, float)",6048,41317844,6831.654101,0.3533,3360,66560,9001.240372
"void cpy_scalar<&(void cpy_1_scalar<float, float>(char const*, char*))>(char const*, char*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)",4032,40632408,10077.482143,0.3475,4320,2000794,34301.576071
"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int)",1008,36895597,36602.774802,0.3155,6720,222079,36564.366304
"void ssm_conv_long_token_f32<true, 128ul, 4ul, 32l>(float const*, float const*, float const*, int, int, int, int, float*, int, int, int, long)",720,33229663,46152.309722,0.2842,21920,169600,35395.879240
"void ssm_conv_f32<true, 128ul, 4ul>(float const*, float const*, float const*, int, int, int, int, float*, int, int, int, long)",2304,31928257,13857.750434,0.2730,10240,35359,4212.349022
"__amd_rocclr_copyBuffer",3780,24357869,6443.880688,0.2083,2560,15680,1425.014794
"void rope_multi<true, false, float>(float const*, float*, int, int, int, int, int, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, mrope_sections, bool)",2016,14823161,7352.758433,0.1268,5119,55200,5278.695181
"void unary_op_kernel<&(op_softplus(float)), float>(float const*, float*, int)",3024,13008458,4301.738757,0.1112,3200,5280,146.537063
"void unary_op_kernel<&(op_sigmoid(float)), float>(float const*, float*, int)",3024,12940938,4279.410714,0.1107,2880,18400,332.771806
"void k_bin_bcast<&(op_mul(float, float)), float, float, float, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*)",3024,12602521,4167.500331,0.1078,3680,5440,222.941822
"void mul_mat_vec_q8_0_repacked<1, 1, false>(unsigned char const*, block_q8_1 const*, float*, unsigned int, unsigned int, int const*, int const*, int const*, unsigned int, unsigned long, unsigned int, unsigned int)",12,10542856,878571.333333,0.0902,870398,891678,5916.788677
"void k_set_rows<float, long, __half>(float const*, long const*, __half*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",2016,9893418,4907.449405,0.0846,3840,50560,3468.137066
"void unary_gated_op_kernel<&(op_sigmoid(float)), float>(float const*, float const*, float*, long, long, long, long)",1008,6193108,6143.956349,0.0530,4160,104960,6077.792189
"scale_f32(float const*, float*, float, float, long)",576,3977586,6905.531250,0.0340,3840,24640,2531.900648
"__amd_rocclr_fillBufferAligned",45,888159,19736.866667,7.595e-03,3680,210240,37147.476532
"void quantize_q8_1<32>(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",12,53760,4480.000000,4.597e-04,4160,4960,236.335663
